timestamp,gx,gy,gz
1463126525726168010,5.0,-10.0,-2.0
1463126525727697281,2.0,-13.0,-2.0
1463126525728684104,3.0,-6.0,-1.0
1463126525735438427,4.0,0.0,-1.0
1463126525785923375,3.0,9.0,0.0
1463126525788056448,1.0,11.0,1.0
1463126525790419469,10.0,20.0,0.0
1463126525792916239,9.0,15.0,-1.0
1463126525795402594,3.0,2.0,-6.0
1463126525802943062,1.0,5.0,-5.0
1463126525806312177,1.0,14.0,-6.0
1463126525873008323,4.0,9.0,-9.0
1463126525875282073,2.0,4.0,-14.0
1463126525877250666,1.0,6.0,-13.0
1463126525891729677,9.0,5.0,-11.0
1463126525894286500,4.0,11.0,-13.0
1463126525897005927,0.0,21.0,-14.0
1463126525899352541,-4.0,19.0,-13.0
1463126525902516083,-6.0,11.0,-12.0
1463126525907940354,-10.0,8.0,-8.0
1463126525910449416,-11.0,13.0,-5.0
1463126526073290718,-11.0,16.0,-6.0
1463126526078738531,-9.0,6.0,-6.0
1463126526086941656,-11.0,-2.0,-5.0
1463126526137301031,-8.0,7.0,-2.0
1463126526140028843,-5.0,9.0,-4.0
1463126526145450875,-6.0,16.0,-4.0
1463126526152810979,-9.0,14.0,-2.0
1463126526155552437,-9.0,0.0,1.0
1463126526159266812,-11.0,-11.0,1.0
1463126526160253531,-10.0,-12.0,6.0
1463126526161316187,-10.0,-7.0,6.0
1463126526162364729,-9.0,-4.0,9.0
1463126526163358583,-4.0,6.0,7.0
1463126526164349625,-5.0,8.0,4.0
1463126526165313427,-7.0,0.0,0.0
1463126526166661968,-13.0,-8.0,-1.0
1463126526174111448,-8.0,-10.0,1.0
1463126526227989833,-8.0,-12.0,0.0
1463126526231418687,-6.0,-17.0,0.0
1463126526238899052,-5.0,-15.0,-2.0
1463126526241849781,0.0,-5.0,2.0
1463126526245629625,4.0,7.0,0.0
1463126526246836760,2.0,8.0,0.0
1463126526247936604,2.0,-3.0,-2.0
1463126526248970406,0.0,-5.0,-4.0
1463126526249961708,0.0,-1.0,-5.0
1463126526250951656,0.0,10.0,-8.0
1463126526252053531,-6.0,10.0,-11.0
1463126526253160875,-7.0,5.0,-13.0
1463126526254177750,-8.0,4.0,-9.0
1463126526255174833,-4.0,3.0,-9.0
1463126526261949052,-2.0,-1.0,-5.0
1463126526311833114,0.0,-2.0,-5.0
1463126526314019104,-2.0,-2.0,-5.0
1463126526316502229,0.0,7.0,-4.0
1463126526318964156,-1.0,6.0,-6.0
1463126526321623114,-3.0,-1.0,-3.0
1463126526328983947,-1.0,-2.0,-4.0
1463126526332648010,-4.0,4.0,-6.0
1463126526333439520,-7.0,4.0,-2.0
1463126526335482645,-6.0,-1.0,2.0
1463126526337693843,-7.0,-19.0,4.0
1463126526345037802,-10.0,-11.0,-1.0
1463126526347706760,-5.0,10.0,1.0
1463126526400497958,-5.0,5.0,-1.0
1463126526402781239,-10.0,-2.0,0.0
1463126526405286708,-7.0,-1.0,-1.0
1463126526407814052,-6.0,-2.0,-5.0
1463126526410277958,-7.0,-3.0,-4.0
1463126526417442593,-10.0,2.0,-4.0
1463126526424191604,-11.0,3.0,-3.0
1463126526431623791,-12.0,0.0,-5.0
1463126526437874989,-12.0,-9.0,-4.0
1463126526489470458,-8.0,-10.0,-5.0
1463126526491885614,-10.0,-8.0,-5.0
1463126526494145145,-7.0,-2.0,-2.0
