timestamp,mx,my,mz
1463126525726168010,-786.0,884.0,1789.0
1463126525727697281,2084.0,-1277.0,-137.0
1463126525728684104,2084.0,-1277.0,-137.0
1463126525735438427,2044.0,-1395.0,-98.0
1463126525785923375,2044.0,-1395.0,-98.0
1463126525788056448,2398.0,-1435.0,-137.0
1463126525790419469,2398.0,-1435.0,-137.0
1463126525792916239,2123.0,-1553.0,58.0
1463126525795402594,2123.0,-1553.0,58.0
1463126525802943062,2162.0,-1435.0,-58.0
1463126525806312177,2162.0,-1435.0,-58.0
1463126525873008323,2084.0,-1435.0,-137.0
1463126525875282073,2084.0,-1435.0,-137.0
1463126525877250666,2280.0,-1395.0,-19.0
1463126525891729677,2280.0,-1395.0,-19.0
1463126525894286500,2162.0,-1513.0,-216.0
1463126525897005927,2162.0,-1513.0,-216.0
1463126525899352541,2398.0,-1356.0,-58.0
1463126525902516083,2398.0,-1356.0,-58.0
1463126525907940354,2202.0,-1474.0,-19.0
1463126525910449416,2202.0,-1474.0,-19.0
1463126526073290718,2319.0,-1435.0,-137.0
1463126526078738531,2319.0,-1435.0,-137.0
1463126526086941656,2319.0,-1435.0,-58.0
1463126526137301031,2319.0,-1435.0,-58.0
1463126526140028843,2005.0,-1435.0,-58.0
1463126526145450875,2005.0,-1435.0,-58.0
1463126526152810979,2359.0,-1553.0,-176.0
1463126526155552437,2359.0,-1553.0,-176.0
1463126526159266812,2477.0,-1513.0,-216.0
1463126526160253531,2477.0,-1513.0,-216.0
1463126526161316187,2516.0,-1395.0,-19.0
1463126526162364729,2516.0,-1395.0,-19.0
1463126526163358583,2202.0,-1553.0,-98.0
1463126526164349625,2202.0,-1553.0,-98.0
1463126526165313427,2123.0,-1553.0,-98.0
1463126526166661968,2123.0,-1553.0,-98.0
1463126526174111448,2162.0,-1356.0,-58.0
1463126526227989833,2162.0,-1356.0,-58.0
1463126526231418687,2202.0,-1395.0,-98.0
1463126526238899052,2202.0,-1395.0,-98.0
1463126526241849781,2319.0,-1513.0,-137.0
1463126526245629625,2319.0,-1513.0,-137.0
1463126526246836760,2241.0,-1356.0,-216.0
1463126526247936604,2241.0,-1356.0,-216.0
1463126526248970406,2280.0,-1553.0,-176.0
1463126526249961708,2280.0,-1553.0,-176.0
1463126526250951656,2241.0,-1356.0,19.0
1463126526252053531,2241.0,-1356.0,19.0
1463126526253160875,2162.0,-1356.0,-216.0
1463126526254177750,2162.0,-1356.0,-216.0
1463126526255174833,2241.0,-1513.0,-294.0
1463126526261949052,2241.0,-1513.0,-294.0
1463126526311833114,2319.0,-1435.0,-216.0
1463126526314019104,2319.0,-1435.0,-216.0
1463126526316502229,2241.0,-1356.0,-58.0
1463126526318964156,2241.0,-1356.0,-58.0
1463126526321623114,2280.0,-1395.0,137.0
1463126526328983947,2280.0,-1395.0,137.0
1463126526332648010,2319.0,-1513.0,98.0
1463126526333439520,2319.0,-1513.0,98.0
1463126526335482645,2398.0,-1435.0,-137.0
1463126526337693843,2398.0,-1435.0,-137.0
1463126526345037802,2319.0,-1435.0,98.0
1463126526347706760,2319.0,-1435.0,98.0
1463126526400497958,2398.0,-1513.0,19.0
1463126526402781239,2398.0,-1513.0,19.0
1463126526405286708,2477.0,-1277.0,98.0
1463126526407814052,2477.0,-1277.0,98.0
1463126526410277958,2398.0,-1513.0,98.0
1463126526417442593,2398.0,-1513.0,98.0
1463126526424191604,2241.0,-1277.0,19.0
1463126526431623791,2241.0,-1277.0,19.0
1463126526437874989,2477.0,-1356.0,19.0
1463126526489470458,2477.0,-1356.0,19.0
1463126526491885614,2162.0,-1277.0,19.0
1463126526494145145,2162.0,-1277.0,19.0
1463126526496643114,2398.0,-1120.0,-137.0
1463126526501819104,2398.0,-1120.0,-137.0
1463126526504260927,2123.0,-1474.0,-176.0
1463126526506826395,2123.0,-1474.0,-176.0
1463126526577074572,2359.0,-1474.0,-19.0
1463126526579209364,2359.0,-1474.0,-19.0
1463126526582821239,2280.0,-1317.0,-98.0
1463126526585446135,2280.0,-1317.0,-98.0
1463126526592913583,2319.0,-1356.0,19.0
1463126526595363687,2319.0,-1356.0,19.0
1463126526597868895,2359.0,-1553.0,-19.0
1463126526600228531,2359.0,-1553.0,-19.0
1463126526840834989,2241.0,-1356.0,-58.0
1463126526844192541,2241.0,-1356.0,-58.0
1463126526846841812,2241.0,-1435.0,19.0
1463126526855649051,2241.0,-1435.0,19.0
